Codigo Municipio,Densidad,Umbral
35001,127.95,Poblado
35002,406.91,Poblado
35003,51.08,Poblado
35004,2656.38,Poblado
35005,15.75,Poblado
35006,1173.42,Poblado
35007,8.09,Despoblado11
35008,468.68,Poblado
35009,390.97,Poblado
35010,50.31,Poblado
35011,815.73,Poblado
35012,120.01,Poblado
35013,243.26,Poblado
35014,78.15,Poblado
35015,54.59,Poblado
35016,3665.07,Poblado
35017,143.71,Poblado
35018,467.57,Poblado
35019,159.64,Poblado
35020,60.75,Poblado
35021,767.81,Poblado
35022,1176.6,Poblado
35023,325.46,Poblado
35024,87.61,Poblado
35025,17.96,Poblado
35026,1024.31,Poblado
35027,489.5,Poblado
35028,323.4,Poblado
35029,47.48,Poblado
35030,56.28,Poblado
35031,241.8,Poblado
35032,169.63,Poblado
35033,200.08,Poblado
35034,80.05,Poblado
38001,459.96,Poblado
38002,43.96,Poblado
38003,41.26,Poblado
38004,163.1,Poblado
38005,46.02,Poblado
38006,1011.8,Poblado
38007,44.16,Poblado
38008,232.96,Poblado
38009,414.27,Poblado
38010,71.82,Poblado
38011,575.24,Poblado
38012,62.03,Poblado
38013,52.62,Poblado
38014,31.41,Poblado
38015,168.62,Poblado
38016,17.67,Poblado
38017,319.08,Poblado
38018,233.32,Poblado
38019,151.47,Poblado
38020,204.1,Poblado
38021,45.12,Poblado
38022,242.96,Poblado
38023,1542.31,Poblado
38024,580.0,Poblado
38025,648.68,Poblado
38026,204.06,Poblado
38027,56.97,Poblado
38028,3417.78,Poblado
38029,72.51,Poblado
38030,72.72,Poblado
38031,652.1,Poblado
38032,447.47,Poblado
38033,98.27,Poblado
38034,235.52,Poblado
38035,520.27,Poblado
38036,81.86,Poblado
38037,355.82,Poblado
38038,1386.35,Poblado
38039,669.96,Poblado
38040,213.3,Poblado
38041,490.0,Poblado
38042,191.12,Poblado
38043,811.53,Poblado
38044,116.8,Poblado
38045,378.57,Poblado
38046,428.37,Poblado
38047,47.81,Poblado
38048,49.04,Poblado
38049,144.15,Poblado
38050,26.87,Poblado
38051,506.41,Poblado
38052,31.79,Poblado
38053,68.98,Poblado
38901,23.4,Poblado
